             #EP            #LOSS            #PROB             #VAL              #BL            #NORM         #TEST_MU        #TEST_STD        #TEST_GAP
               0            0.67          0.00733            -5.17            -5.14             22.1             4.96            0.624            0.494
               1           0.206           0.0189            -4.96            -4.97             13.4             4.96            0.663             0.49
